Company,Carbon_Emissions_Score,Community_Engagement_Score,Cybersecurity_Score,Diversity_Equity_Inclusion_Score,ESG_Disclosure_Score,Energy_Efficiency_Score,Governance_Score,Human_Rights_Score,Labor_Practices_Score,Renewable_Energy_Percentage,Sustainable_Products_Score,Transparency_Score,Waste_Management_Score,Water_Usage
Company_63,74.07,89.17,83.09,50.11,96.33,95.12,69.52,89.26,64.26,73.05,84.83,74.33,58.23,43367.87
Company_25,64.84,54.01,59.29,87.4,79.21,78.96,52.86,75.14,92.64,96.08,57.87,79.75,77.11,48466.76
Company_87,93.09,83.49,65.71,78.95,54.1,97.08,51.99,82.87,78.26,26.08,65.82,63.28,78.48,20785
Company_17,83.58,96.66,94.04,53.63,99.92,65.81,72.91,99.8,53.66,26.52,60.66,93.96,87.59,15699.86
Company_48,64.25,93.91,63.22,99.19,76.45,77.16,90.35,83.39,77.73,10.36,96.59,94.49,65.13,22471.04
Company_96,77.66,71.18,63.83,60.18,63.2,80.24,81.71,74.43,95.27,9.23,92.31,50.18,85.88,14345.06
Company_99,56.54,68.46,77.63,85.28,55.59,58.08,78.05,97.25,84.55,3.6,57.45,71.49,72.09,49010.1
Company_6,65.41,81.03,57.73,94.95,62.48,89.81,60.5,55.14,89.01,40.64,94.21,96.49,93.04,45050.09
Company_21,98.81,89.37,55.4,86.83,96.54,94.07,66.61,90.11,93.2,26.68,90.54,93.61,51.24,40727.81
Company_61,61.12,63.96,82.07,89.77,51.18,73.02,61.38,59.66,66.41,96.69,93.22,69.98,65.26,41012.74
Company_69,66.56,99.21,55.78,79.03,51.91,93.85,99.18,79.83,67.28,43.64,89.32,94.98,63.06,2352.43
Company_25,62.74,66.51,65.7,76.92,87.1,50.08,85.97,83.53,68.21,66.42,53.5,92.4,96.28,35730.48
Company_93,95,78.46,70.3,84.86,59.59,83.34,77.72,83.25,68.96,17.4,87.41,91.69,66.31,25849
Company_39,64.35,54.24,75.77,73.25,60.69,79,72.11,73.66,95.06,16.97,89.8,81.65,82.74,22064.52
Company_43,54.67,94.31,78.78,90.33,52.31,61.74,57.37,99.2,80.56,45.54,88.42,85.92,65.52,47647.98
Company_50,74.72,52.51,62.46,87.55,55.33,82.8,88.5,71.26,58.79,51.8,97.9,92.42,50.28,12955.24
Company_59,56.67,72.3,57.96,65.86,72.13,76.56,87.76,90.75,94.6,90.69,71.34,93.07,77.95,23767.52
Company_58,62.96,77.01,56.92,76.06,63.73,81.88,81.34,53.87,64.29,31.97,63.59,61.56,88.29,13114.75
Company_89,57.64,94.03,78.78,73.3,91.64,70.74,53.11,69.47,88.49,1.95,97.3,73.85,66.54,11483.69
Company_46,64.93,69.44,83.44,76.91,89.99,94.58,86.73,94.89,74.41,48.56,63.65,89.91,91.79,20109.35
Company_93,58.25,52.51,68.96,51.35,78.22,56.38,69.7,51.36,82.14,46.17,56.78,60.58,81.11,23902.12
Company_42,66.88,53.43,97.86,71.08,73.52,63.91,91.75,87.45,52.6,22.42,97.6,52.01,97.56,44102.36
Company_4,97.48,80.36,87.4,56.31,78.2,51.02,83.47,60.9,84.97,16.78,88.34,55.73,57.62,10768.67
Company_21,98.24,55.1,88.62,83.87,69.83,51.28,97.91,85.75,53.8,62.72,84.53,92.51,65.6,6296.84
Company_77,90.28,71.68,68.11,76.64,53.45,78.3,83.08,82.38,50.63,49.02,71,94.58,52.05,40015.13
Company_59,85.37,92.59,91.54,63.5,76.91,86.69,90.41,74.17,71.78,26.84,86.55,54.33,98.27,22338.87
Company_58,62.19,85.06,63.81,51.43,59.09,80.52,92.55,60.61,89.89,88.03,67.02,50.51,68.95,23770.71
Company_25,54.28,65.31,79.08,84.53,74.54,74.43,82.3,89.65,54.65,69.18,61.08,73.66,87.91,36283.66
Company_68,67.19,84.51,59.58,72.69,61.53,77.52,65.33,86.06,65.78,95.09,87.14,86.93,67.59,49834.94
Company_36,86.23,98.71,77.67,55.03,61.37,76.23,59.71,58.97,50.71,27.43,76.71,84.87,64.15,48853.74
Company_17,81.89,53.27,74.59,64.22,67.04,55.13,73.94,98.27,62.62,11.41,93.09,78.85,50.61,37886.82
Company_88,52.68,72.53,72.14,99.7,88.22,78.14,55.92,80.32,89.54,52.26,61.28,93.01,65.19,8310.68
Company_55,65.27,50.13,72.53,97.38,60.55,80.48,60.39,83.02,57.85,7.51,58.69,79.69,87,31430.34
Company_38,51.63,55.74,61.24,53.56,63.23,64.14,61.67,89.56,79.49,19.78,90.2,57.45,92.98,15117.14
Company_35,91.33,75.02,74.69,87.45,64.43,58.3,78.46,56.22,84.43,94.27,84.99,54.02,65.38,4499.08
Company_6,94.47,78.81,88.16,61.45,93.03,80.19,83.71,79.36,51.04,82.14,88.24,58.76,51.29,36992.16
Company_67,82.58,66.49,84.68,81.74,54.56,59.07,74.59,67.4,66.67,85.77,83.51,64.41,79.27,45887.57
Company_52,90.68,70.66,59.38,66.16,70.21,72.74,98.51,75.73,99.41,54.26,82.88,68.09,65.73,27954.73
Company_97,74.92,85.49,65.54,56.55,94.04,52.58,64.4,74.24,51.44,79.93,81.5,50.68,63.35,22660.01
Company_53,54.66,99.01,62.19,55.87,74.92,95.65,91.61,85.83,75.44,83.47,63.67,77.56,73.07,49620.6
Company_50,59.53,86.3,91.87,53.49,92.72,87.31,88.63,66.99,89.39,0.26,63.36,79,56.83,30369.5
Company_85,74.48,61.68,88.78,77.6,72.77,76.93,77.17,66.09,59.43,57.18,84.87,52.18,67.26,8281.18
Company_96,73.65,55.02,92.25,89.62,57.61,69.06,82.6,98.24,56.31,33.2,98.27,54.99,99.42,45758.08
Company_59,50.77,83.72,76.68,53.74,63.25,93.55,89.08,81.16,69.87,32.86,54.02,97.71,98.5,8063.62
Company_81,85.94,81.69,93.63,53.42,96.05,93.62,81.56,99.87,87.34,9.84,71.7,72.18,51.79,38210.69
Company_89,64.97,80.47,69.13,67.92,62.21,66.22,71.53,70.6,84.09,17.51,59,84.16,52.81,2418.42
Company_64,95.64,67.28,79.38,62.77,90.23,73.06,50.47,95.06,83.88,44.17,57.9,81.95,62.7,8012.77
Company_55,84.52,91.5,69.79,92.67,69.07,65.11,55.33,67.95,64.79,2.19,84.96,50.4,99.97,23384.95
Company_88,88.92,62.53,87.78,91.64,88.79,95.53,95.15,61.51,90.1,19.01,60.95,88.37,87.26,48706.54
Company_88,91.92,58.78,56.61,65.45,78.98,95.17,72.04,86.62,54.51,74.75,64.76,76.97,82.32,31784.16
Company_47,76.54,57.04,98.33,91.23,90.32,91.52,74.09,87.33,66.94,96.29,55.76,93.01,62.85,45760.86
Company_93,83.72,69.05,81.93,54.52,63.22,92.29,69.73,56.18,68.43,26.22,87.45,68.57,77.87,20473.16
Company_87,61.69,56.99,97.31,95.76,53.16,94.21,61.07,91.19,95.47,40.83,65.11,65.22,78.07,2226.21
Company_64,55.81,82.75,91.68,68.55,84.82,76.88,97.47,77.01,79.37,88.54,86.33,80.78,69.43,12505.2
Company_36,51.64,59.49,56.11,92.77,84.28,72.17,54.97,77.22,98.89,39.81,67.93,92.4,97.53,19155.97
Company_59,54.58,79.32,90.65,52.53,99.44,81.97,66.68,89.35,60.26,55.42,91.49,61.65,98.55,11393.18
Company_100,57.38,89.5,61.9,57.23,62.53,50.14,56.5,58.72,83.05,1.49,51.29,66.19,92.92,45126.02
Company_23,63.27,86.36,95.44,53.18,68.1,71.05,72.41,79.68,72.6,61.51,61.08,82.95,55.68,7211.17
Company_39,72.9,53.28,63.75,70.08,74.51,53.04,84.3,95.49,53.67,60.83,54.04,81.65,73.95,48237.28
Company_71,85.61,93.27,71.5,75.28,89.65,79.87,71.51,55.72,82.74,55.13,93.89,94.4,64.74,19664.32
Company_53,66.95,54.66,54.83,71.34,68.72,70.8,83.26,57.63,96.15,83.18,53.36,86.94,54.75,23221.45
Company_17,77.82,80.02,67.58,56.11,83.27,78.08,67.68,87.51,93.4,96.84,86.05,78.9,66.48,29736.79
Company_28,57.74,81.09,83.75,77.81,63.93,92.36,55.74,61.31,71.46,76.74,78.05,77.84,67.51,24627.28
Company_78,96.45,57.09,81.66,85.13,66.99,63.37,65.45,50.31,93.49,40.08,78.32,51.53,59.02,41643.58
Company_96,76.52,52.49,54.08,65.58,97.07,72.68,66.22,79.81,94.17,75.44,57.78,72.16,57.87,19433.53
Company_55,74.28,69.76,79.97,55.69,64.16,63.66,71.5,83.92,74.33,4.54,83.36,50.38,87.75,22660.17
Company_39,97.27,83.4,67.71,56,71.53,88.21,74.87,56.46,76.63,55.87,61.51,69.85,64.47,38600.13
Company_95,52.12,90.07,80.91,78.79,85.47,96.06,78.67,70.88,55.76,32.48,51.04,91.6,93.11,1918.34
Company_47,54.41,55.7,75.5,76.2,65.51,62.17,69.79,66.98,66.65,51.05,58.41,95.3,79.44,42379.73
Company_45,67.55,81.4,73.2,55.14,58.67,82.27,62.8,57.64,87.96,95.13,53.77,78.19,57.38,47952.94
Company_75,72.45,63.73,52.81,81.23,81.36,78.22,93.21,57.55,53.41,30.28,72.11,75.37,81.76,46283.56
Company_40,73.09,86.95,52.05,82.23,54.51,68.44,98.87,79.7,69.22,95.42,79.02,95.45,64.35,2842.76
Company_74,82.59,62.39,71.89,53.09,94.96,73.78,55.18,67.17,85.72,17.26,75.23,71.97,57.54,16754.81
Company_67,80.49,69.33,62.6,88.72,52.62,95.9,83.94,81.54,66.73,55.8,66.48,92.58,69.37,18831
Company_78,93.66,68.83,89.58,67.49,84.92,79.14,98.38,69.6,79.75,30.96,96.9,90.66,57.07,17334.74
Company_86,85.14,88.31,59.6,54.67,75.42,99.86,83.52,50.91,65.44,34.17,97.56,100,95.62,47408.32
Company_20,53.86,58.11,91.57,91.76,51.89,55.06,94.18,66.84,88.32,37.67,56.55,88.55,88.54,42376.99
Company_22,86.06,89.22,95.2,98.48,87.62,68.21,80.53,89.19,61.7,96.56,61.96,59.7,85.98,3140.93
Company_87,97.36,82.06,93.71,69.09,98.31,73.08,76.37,90.84,90.06,25,56.92,77.73,64.09,49237.55
Company_14,85.57,94.23,96.52,58.02,75.67,56.23,72.47,91.55,54.59,81.67,95.53,70.74,54.19,26279.56
Company_51,75.1,91.49,84.8,51.41,91.96,99.73,96.54,82.5,89.57,28.69,56.88,56.94,68.75,12553.13
Company_91,73.46,56.09,61.92,60.78,97.01,95.29,57.48,80.44,71.16,23.76,88.81,81.95,50.95,31152.06
Company_80,72.86,70.83,83.22,50.82,62.1,95.26,75.77,57.18,71.46,24.06,80.74,54.28,79.84,6432.04
Company_47,53.38,89.43,67.24,77.71,73.51,75.37,69.52,81.78,99.05,1.62,62.68,86.65,99.42,26776.91
Company_81,55.18,59.11,56.74,67.61,82.14,87.83,66.93,91.52,84.23,47.85,99.04,85.8,56.67,29513.26
Company_59,51.85,64.31,93.11,65.78,69.91,89.56,65.5,90.77,73.67,64.69,51.83,52.39,94.29,10877.96
Company_84,66.6,75.96,90.06,87.17,69.33,68.4,94.73,98.69,74.81,92.43,74.88,86.35,94.47,7099.28
Company_11,71.53,72.36,86.34,55.13,64.78,59.02,66.4,72.3,85.88,44.39,58.33,95.58,64.69,49759.81
Company_79,99.91,80.38,89.07,53.75,68.17,99,81.88,90.05,83.97,14.28,97.64,51.74,97.4,14453.21
Company_9,61.8,68.35,65.72,51.62,72.5,68.11,57.67,68.55,72.2,13.77,53.84,63.93,97.47,32612.98
Company_15,51.3,60.01,56.79,55.89,85.2,75.89,88.75,60.73,80.59,99.86,84.7,53.7,95.68,10116.35
Company_23,94.93,85.59,96.37,92.28,67.37,54.39,65.98,53.25,77.11,85.14,94.57,81.89,84.1,22810.45
Company_47,75.44,54.31,65.46,89.52,77.7,60.05,51.31,68.45,90.18,61.19,77.58,99.98,56.94,6946.76
Company_93,73.93,77.57,79.39,56.27,53.71,70.47,65.85,73.29,75.87,82.91,56.42,88.39,78.75,21128.96
Company_17,71.63,92.3,62.53,57.65,66.13,52.77,58.23,85.47,67.3,89.49,97.05,81.75,56.21,45624.9
Company_71,63.72,96.2,52.06,82.05,79.03,80.72,79.59,58.56,81.22,33.76,95.1,93.19,54.67,31626.1
Company_11,52.27,74.15,90.23,88.35,81.95,78.84,70.83,74.9,81.36,95.67,64.48,84.25,82.56,32431.23
Company_39,72.68,69.94,88.03,73.22,57.18,57.9,67.01,93.07,65.97,34.54,99.4,75.75,70.78,34742.07
Company_14,65.96,66.37,78.88,54.84,69.21,63.37,64.51,80.77,62.41,15.97,93.27,65.64,62.4,23857.16
Company_98,57.97,64.07,79.88,74.87,69.66,73.34,54.5,72.86,62.04,4.87,79.17,92.14,93.95,49802.5
Company_87,73.53,77.66,53.68,94.12,88.19,92.36,86.38,68.3,70.03,19.47,78.51,75.21,71.55,27297.85
Company_98,77.49,80.12,70.07,56.43,68.66,81.16,54.83,99.34,77.89,14.43,68.28,52.01,80.55,41440.25
Company_5,56.85,64.96,66.82,80.31,66.4,73.69,75.78,80.65,58.13,73.93,99.53,91.41,72.85,17318.99
Company_69,74.49,79.85,63.28,66.56,70.83,73.74,55.48,65.38,94.94,62.93,93.6,82.78,50.83,28583.29
Company_100,78.92,85.03,59.54,76.21,88.73,52.57,86.06,69.01,91.08,57.26,62.11,72.05,74.02,12149.62
Company_54,57.57,83.11,76.27,96.03,86.79,70.52,93.64,53.11,56.9,32.5,60.37,65.69,88.75,34834.51
Company_23,72.98,64.92,97.07,93.38,90.18,77.31,84.04,63.22,74.21,27.9,97.87,99.11,83.79,27123.23
Company_99,64.45,99.01,90.92,67.44,89.77,85.25,96.69,63.67,56.09,37.97,83.83,97.73,65.85,11156.61
Company_19,64.52,56.86,80.78,72.12,73.95,85.71,62.82,60.1,76.93,69.62,96.65,79.34,67.32,15093.89
Company_32,52.54,57.9,82.64,55.01,73.62,61.28,66.51,84.06,56.87,97.79,98.23,94.03,61.64,45354.03
Company_61,73.87,95.66,58.75,82.29,54.47,98.2,95.4,78.71,76.76,93.67,86.16,94.11,66.06,10773.34
Company_23,96.7,96.42,66.75,59.32,93.61,91.81,87.45,64.47,51.87,60.28,64.92,72.72,89.4,2780.65
Company_83,77.17,86.83,89.54,73.4,55.63,96.93,59.64,58.12,72.95,18.62,62.86,78.39,92.55,25201.71
Company_97,59.66,50.34,69.18,71.39,70.04,81.94,66.4,54.77,99.08,93.58,73.87,72.34,70.27,30936.77
Company_35,97.7,94.76,85.18,82.68,53.11,86.14,84.64,55.91,65.34,50.25,70.27,65.55,50.57,15795.35
Company_16,81.94,87.87,90.1,97.87,72.75,68.38,73.91,99.44,68.68,91.28,85.1,91.28,61.04,47091.15
Company_98,62.37,78.64,57.49,72.34,53.91,93.66,85.19,78.21,53.09,50.55,77.38,66.41,54.09,37982.24
Company_67,72.09,83.64,65.41,94.94,52.78,85.85,72.27,56.6,70.77,55.88,78.2,51.09,74.44,34334.47
Company_33,90.82,70.44,88.45,67.23,99.71,78.92,53.19,96.73,53.45,3.17,96.69,88.29,52.26,37544.42
Company_94,82.29,67.39,58.92,93.48,68.78,99.64,95.34,84.14,83.09,65.35,76.97,76.86,69.12,21597.74
Company_68,56.37,57.76,59.42,98.92,85.95,91.74,73.15,71.21,68.96,46.06,61.48,93.76,87.81,48957.49
Company_98,55.64,52.43,87.03,94.19,60.3,70.96,50.78,55.04,51.68,70.33,79.89,70.11,88.3,40664.43
Company_30,76.99,61.85,93.81,99.67,95.82,88.8,61.71,78.81,78.87,81.84,88.63,99.28,57.01,37964.9
Company_67,61.05,83.57,89.29,93.99,81.3,53.05,95.58,71.36,74.78,94.16,98.61,65.94,97.43,15724.55
Company_54,70.41,70.83,76.5,62.05,92.88,59.19,61.27,57.22,73.15,41.27,52.88,69.42,76.9,15694.54
Company_33,60.17,59.41,88.08,54.62,59.52,96.11,86.23,63.42,83.68,87.36,80.15,86.22,92.36,32688.59
Company_72,60.85,84.78,85.19,95.45,59.5,95.35,60.59,87.07,87.34,91.44,87.72,69.83,65.16,11235.57
Company_31,77.6,91.99,95.72,67.96,75.64,69.03,63.08,74.86,54.93,46.95,99.07,68.54,76.68,39000.18
Company_53,52.29,62.29,77.53,77.67,86,87.06,79.2,64.76,59.81,56.98,61.5,97.17,50.81,43340.16
Company_44,62.87,77.11,82.09,74.53,89.75,98.33,58.41,58.46,86.02,91.69,74.42,52.94,82.08,41258.01
Company_5,91.95,53.02,81.89,50.32,81.54,90.9,56.87,53.4,57.55,45.6,60.94,96.7,52.43,4642.19
Company_62,82.96,96.99,58.96,50.84,76.79,76.61,86.11,64.33,75.11,43.06,84.89,95.9,70.57,1770.86
Company_68,57.44,84.2,92.39,63.37,68.65,76.32,69.84,70.3,78.25,22.59,99.51,82.69,90.76,10404.67
Company_84,87.98,92.9,54.77,52.81,58.57,68.96,50.47,74.99,71.7,56.59,89.22,76.41,77.64,5581.52
Company_6,61.49,92.52,50.78,63.55,84.22,84.61,96.21,64.02,77.15,17.94,82.91,60.36,78.34,45162.37
Company_19,87.61,57,99.42,58.12,91.73,69.91,62.02,69.46,94.83,75.56,66.59,86.21,53.85,35922.86
Company_65,87.27,89.18,72.53,53.8,80.69,54.88,80.26,79.78,98.45,63.41,66.32,61.41,61.61,17947.12
Company_71,97.06,81.7,86.98,54.28,89.9,83.98,80.93,85.66,54.1,71.17,57.71,65.83,83.03,22160.55
Company_14,54.58,77.71,79.85,55.11,71.55,72.24,54.36,77.85,75.62,8.96,55.16,89.22,88.07,47205.05
Company_50,50.62,63.42,57.3,77.98,62.14,88.96,99.64,76.06,84.27,26.89,58.48,58.36,86.24,21276.69
Company_36,71.06,66.61,81.01,62.33,79.69,53.85,81.25,59.78,55.35,94.88,65.23,90.2,62.58,24727.33
Company_43,72.01,65.96,86.74,79.72,80.16,91.18,65.02,84.76,73.95,39.82,58.88,81.65,82.55,22100.19
Company_74,89.1,86.36,97.15,68.25,59.99,64.02,96.6,99.86,59,2.69,88.38,60.48,89.29,16968.43
Company_38,91.56,72.45,79.9,83.65,65.14,92.39,56.96,62.63,57.71,37.7,71.16,79.11,89.75,4388.77
Company_69,75.33,82.88,67.75,89.54,94.78,84.59,67.98,76.85,81.91,76.9,54.25,82.35,77.18,46099.22
Company_6,78.16,84.38,61.05,66.58,55.3,82.34,89.81,54.93,61.1,55.8,87.34,68.71,98.34,32606.53
Company_60,88.62,65.59,72.77,51.23,70.8,75.02,55.23,98.09,55.8,14.17,97.03,60.34,67.25,29840.91
Company_62,67.42,96.5,87.02,53.36,85.54,86.1,52.23,51.13,67.15,80.01,55.47,75.8,72.62,5783.53
Company_71,58.01,79.61,69.44,70.25,82.02,97.92,59.22,71.61,51.46,19.73,80.71,85.24,61.59,28432.6
Company_27,63.92,98.3,65.67,89.98,68.29,89.8,76.84,59.85,55.7,48.95,83.54,69.43,78.87,35484.23
Company_51,79.35,65.27,59.15,90.69,64.87,92.28,85.3,80.72,54.24,11.79,56.7,84.67,80.87,18048.31
Company_66,69.42,59.35,92.1,74.33,95.96,78.74,76.87,96.53,58.66,28.88,58.34,80.97,71.15,30224.87
Company_46,97.59,78.27,89.79,78.08,70.46,59.76,82.65,74.59,85.51,16.73,72.19,61.03,69.2,24745.84
Company_5,63.74,68.34,91.13,87.13,77.49,58.41,88.3,55.66,55.71,82.33,88.76,52.08,72.87,27342.82
Company_93,72.07,93.26,55.87,82.68,93.74,71.26,62.38,51.61,63.14,8.7,93.11,90.59,86.8,11708.55
Company_27,90.54,64.05,76.94,81.64,56.96,67.53,58.3,60.33,60.35,35.08,52.97,66.18,85.54,29808.27
Company_91,64.63,82.79,85.07,95.01,56.78,97.62,90.76,87.5,70.58,27.73,52.96,56.63,75.72,29064.04
Company_19,85.57,54.65,75.78,74.47,63.44,88.07,78.87,70.71,72.6,88.01,81.68,63.91,83.81,41595.61
Company_48,72.73,69.89,98.41,92.36,98.61,79.1,54.66,81.74,84.86,79.57,92.51,91.24,93.45,24914.18
Company_64,63.43,72.98,56.21,78.31,67.19,66.89,74.27,84.13,52.42,78.39,54.98,92.88,78.9,41588.84
Company_57,72.83,54.12,83.23,95.47,65.09,71.39,94.11,93.72,93.83,36.04,54.67,82.45,99.78,49600.07
Company_7,69.82,50.46,84.78,82.77,50.05,84.97,85.18,73.84,56.63,68,61.31,90.86,61.71,15969.95
Company_55,84.7,82.08,83.86,90.3,68.38,61.45,55.16,64.96,69.14,87.45,90.67,53.42,54.47,24407.31
Company_73,50.42,87.62,79.48,81.4,70.59,72,57.57,84.33,93,10.05,54.33,69.2,86.12,32850.99
Company_55,65.73,65.08,75.89,77.67,80.38,63.85,80,88.95,84.52,65.84,92.39,75.48,54.21,7851.68
Company_96,69.59,68.05,65.82,61.97,62.05,89.19,69.29,81.9,53.55,1.21,94.44,69.34,89.69,32662.32
Company_73,71.04,69.9,64.32,99.37,79.37,58.64,53.65,50.69,60.79,94.87,96.13,85.63,73.55,27771.45
Company_99,70.77,69.54,81.71,80.8,65.5,54.12,63.87,75.57,60.16,53.64,90.4,91.73,76.83,35388.72
Company_88,82.16,82.9,58.78,61.93,96.23,71.87,62.22,55.8,80.61,66.61,52.75,50.63,97.67,16198.31
Company_18,85.07,88.57,51.47,89.15,58.35,97.65,86.04,56.35,89.06,88.64,63.44,90.36,76.15,9027.8
Company_35,76.19,94.71,83.71,74.81,52.77,98.75,75.54,92.97,58.34,77.33,57.87,55.77,81.38,13884.53
Company_95,75.44,87.03,70.97,73.59,57.5,93.15,69.15,96.56,92.87,91.39,77.64,66.09,62.23,3157.86
Company_54,95.79,93.85,93.3,55.97,52.63,91.3,83.67,61.16,75.79,40.09,52.3,88.68,78.58,16676.82
Company_40,66.37,59.77,95.02,78.19,81.14,50.4,65.2,73.2,79.58,77.26,74.67,88.02,60.03,28101.48
Company_32,57.53,65.38,60.26,81.8,50.48,51.2,84.67,66.75,87.95,73.81,68.81,99.16,77.08,46687.48
Company_54,74.6,54.25,54.78,54.65,94.86,99.85,96.06,75.99,85.04,97.46,68.62,56.68,85.58,3934.86
Company_51,53.74,63.6,53.73,61.84,65.75,71.75,63.05,90.04,85.04,31.81,86.77,60.14,98.21,28823.22
Company_100,88.51,54.52,90.38,65.7,67.91,55.28,56.04,88.52,72.6,85.25,73.17,65.21,72.48,6339.67
Company_91,84.84,51.55,70.22,54.56,67.79,91.8,62.41,75.67,83.86,99.07,63.01,72.61,66.39,2976.16
Company_96,77.51,96.88,54.2,56.07,89.05,55.1,53.08,61.11,59.91,68.63,70.03,79.31,89.69,5641.54
Company_10,51.09,78.69,91.08,56.44,91.47,95.12,95.25,66.58,52.13,16.8,73.05,69.75,72.17,4159.13
Company_4,69.14,94.14,73.95,63.75,57.43,67.7,72.3,80.71,80.85,49.89,82.36,54.39,95.42,21906.54
Company_50,56.86,74.23,95.63,81.54,89.74,94.23,90.11,99.47,89.1,54.45,67.96,75.12,76.29,10773.43
Company_50,63.52,57.98,62.39,90.53,90.43,79.86,64.05,73.58,67.87,23.28,79.2,62.06,51.47,2277.09
Company_69,90.81,79.63,90.31,60.97,89.87,52.8,92.33,67.74,91.96,17.61,92.26,84.88,99.82,45945.71
Company_76,51.41,54.51,61.63,78.16,99.4,97.38,59.41,94.08,74.61,49.04,65.45,60.94,78.18,35327.48
Company_68,73.9,57.08,55.55,67.04,90.12,80.71,58.87,93.41,52.98,70.47,57.39,76.31,90.32,17254.97
Company_47,98.03,82.46,58.71,55.05,56.82,97.1,65.09,57.88,97.43,96.07,89.59,98.44,69.78,19305.95
Company_89,94.48,78.64,92.54,90.72,86.7,67.84,68.92,64.73,58.89,70.2,50.09,88.54,83.28,31071.74
Company_73,51.62,58.39,94.27,61.04,96.83,96.05,78.28,57.03,87.27,98.24,61.9,54.44,98.38,30517.04
Company_91,83.5,70.98,58.32,60.48,67.52,66.79,84.66,89.35,86.02,43.82,52.41,70.7,50.57,36735.01
Company_49,67.56,63.06,55.24,78.9,61.28,91.44,87.91,72.56,89.96,2.01,51.67,67.09,89.44,19392.03
Company_49,58.05,71.71,52.68,66.9,94.66,97.09,99.26,85.23,71.57,60.73,82.68,66.55,98.9,4675.12
Company_25,70.46,50.19,54.38,83.03,54.8,96.28,64.87,69.65,77.48,5.45,74.55,91.19,77.01,28151.51
Company_81,80.01,54.56,77.21,64.59,92.19,51.29,54.1,65.42,69.87,66.1,74.45,59.24,58.54,10784.07
Company_49,68.47,77.07,98.54,61.31,53.08,63.16,63.43,87.61,83.37,34.38,54.29,79.49,73.25,22842.99
Company_71,53.05,51.74,78.56,84.35,78.64,76.13,96.82,61.78,64.94,85.39,69.74,75.84,98.28,19968.2
Company_74,83.88,71.77,99.86,58.64,98.61,56.01,99.22,90.42,56.31,98.83,71.17,81.36,87.86,31393.38
Company_77,62.89,81.15,76.13,69.4,66.31,95.71,69.87,63.81,72.91,78.66,93.67,70.98,53.35,45629.42
Company_54,57.48,63.21,82.74,55.01,88.98,79.13,55.28,89.29,93.37,87.79,94.01,78.6,98.24,28763.1
Company_61,51.87,94.85,51.01,84.68,94.48,57.19,51.94,66.57,61.88,92.08,87.29,90.87,80.43,14495.29
Company_39,65.55,80.25,54.46,98.62,65.02,92.91,61.4,87.19,88.7,72.88,66.04,72.09,84.24,42299.48
Company_53,87.05,51.45,59.64,75.76,65.56,93.36,57.95,75.34,56.78,87.93,92.56,91.65,91.05,38215.17
Company_8,62.47,79.7,58.88,63.7,75.26,95.9,91.18,81.77,56.19,37.25,51.53,93.52,85.23,23365.98
Company_76,77.57,61.07,61.26,91.54,51.37,91.88,54.52,52.48,92.69,21.43,88.99,60.34,62.93,17868.2
Company_84,70.48,65.27,98.35,50.44,82.37,89.02,95.58,80.06,50.42,80.51,62.62,82.14,88.38,1982.57
Company_55,94.77,91.97,78.07,65.11,81.18,72.95,76.03,79.22,50.37,96.65,99.97,79.69,60.91,42727.72
