Company,Financial_Instrument,Stock_Exchange,Investment_Amount,Currency,Investment_Date
Company_54,Bonds,LSE,6193597.67,AUD,2016-09-27
Company_1,Equities,TSX,2180808.58,CAD,2017-08-15
Company_87,Fixed Income,JPX,4784543.24,GBP,2020-02-10
Company_66,Futures,ASX,1024533.28,JPY,2020-05-08
Company_26,Mortgages,NYSE,557515.81,INR,2019-02-15
Company_54,Futures,HKEX,7211624.56,CNY,2017-07-08
Company_19,Swaps,NASDAQ,7806362.03,JPY,2012-12-17
Company_60,Swaps,JPX,2567062.97,EUR,2017-03-26
Company_60,Options,JPX,5994977.95,INR,2019-12-17
Company_55,Options,NSE,8982360.22,INR,2017-05-25
Company_32,Equities,JPX,4897510.47,JPY,2014-08-03
Company_92,Equities,HKEX,2789979.56,CAD,2018-02-05
Company_20,Fixed Income,BSE,6970103.14,JPY,2011-07-14
Company_43,Options,NSE,4216164.92,JPY,2023-07-13
Company_99,Futures,NYSE,8581647.12,CNY,2017-01-12
Company_39,Bonds,BSE,5428383.62,JPY,2017-04-09
Company_56,Commodities,NYSE,3949686.31,CNY,2021-03-27
Company_60,Mortgages,SSE,5387823.93,CNY,2019-10-22
Company_4,Commitments,BSE,1443424.92,INR,2012-01-09
Company_49,Derivatives,HKEX,4601523.32,CAD,2022-07-09
Company_97,Bonds,TSX,8365618.06,INR,2010-12-18
Company_7,Derivatives,HKEX,6536426.52,USD,2022-01-08
Company_26,Swaps,SSE,1608585.22,GBP,2017-11-04
Company_73,Fixed Income,NSE,7024703.22,CAD,2012-10-20
Company_96,Commitments,LSE,9650735.65,EUR,2019-01-10
Company_74,Bonds,BSE,9420558.93,JPY,2011-10-23
Company_81,Fixed Income,NASDAQ,7002210.72,AUD,2023-11-20
Company_16,Futures,NYSE,3537317.28,CNY,2020-06-03
Company_65,Derivatives,NYSE,8510798.71,INR,2011-07-12
Company_82,Commodities,LSE,4411322.74,AUD,2019-09-25
Company_62,Commodities,BSE,8274772.52,AUD,2015-04-27
Company_12,Equities,NSE,2514248.05,INR,2019-10-22
Company_49,Derivatives,NYSE,4993634.39,CAD,2012-08-07
Company_46,Equities,ASX,2868619.03,AUD,2018-01-17
Company_25,Commitments,HKEX,7228739.17,INR,2018-04-23
Company_61,Commodities,NSE,7950035.39,EUR,2014-04-13
Company_89,Fixed Income,TSX,6673204.21,CAD,2017-09-17
Company_45,Bonds,JPX,3374833.84,INR,2014-05-09
Company_30,Commitments,HKEX,3223924.65,GBP,2013-04-24
Company_62,Equities,SSE,9768409.53,AUD,2011-04-10
Company_30,Derivatives,LSE,3092449.13,GBP,2014-01-02
Company_71,Equities,LSE,6414909.59,INR,2011-01-19
Company_37,Commodities,NSE,4460641.1,GBP,2010-05-28
Company_62,Commitments,NASDAQ,4067003.68,EUR,2019-11-22
Company_7,Mortgages,LSE,8130306.56,AUD,2011-04-04
Company_72,Bonds,SSE,6001655.77,JPY,2022-09-13
Company_58,Commodities,TSX,8615649.99,CNY,2014-10-20
Company_8,Futures,NASDAQ,9481142.98,JPY,2020-04-09
Company_85,Commitments,LSE,2474665.26,EUR,2012-01-14
Company_58,Futures,NSE,2983466.96,JPY,2014-12-10
Company_90,Commodities,NASDAQ,6905110.71,AUD,2022-11-19
Company_85,Fixed Income,BSE,1236285.39,JPY,2020-03-09
Company_19,Commitments,NYSE,1742635.61,AUD,2019-12-27
Company_73,Equities,NSE,1331101.22,AUD,2021-07-09
Company_65,Options,NSE,4433812.75,USD,2016-12-11
Company_78,Equities,NYSE,1004136.18,USD,2022-11-27
Company_35,Futures,NYSE,7654779.14,GBP,2017-09-21
Company_57,Equities,LSE,9969760.2,CNY,2020-08-03
Company_61,Derivatives,BSE,3399753.1,EUR,2023-03-11
Company_53,Commodities,TSX,6659577.02,CNY,2023-09-02
Company_59,Commitments,ASX,2598748.62,EUR,2022-07-28
Company_66,Swaps,JPX,4673565.82,USD,2013-09-12
Company_80,Commodities,NSE,7623906.31,JPY,2014-09-05
Company_37,Commodities,NSE,1302118.23,JPY,2021-03-10
Company_71,Swaps,JPX,4139107.8,JPY,2023-02-15
Company_16,Mortgages,NSE,9333265.29,AUD,2018-12-09
Company_54,Commodities,NSE,2512935.97,GBP,2016-04-20
Company_66,Mortgages,NASDAQ,2834849.29,CNY,2015-09-09
Company_1,Equities,TSX,8391011.63,INR,2023-03-15
Company_69,Commodities,ASX,3391155.56,CNY,2017-06-28
Company_25,Fixed Income,SSE,3891411.4,CNY,2010-06-24
Company_61,Bonds,BSE,9885298.62,GBP,2017-01-05
Company_65,Futures,ASX,8710033.1,INR,2011-09-15
Company_2,Mortgages,BSE,8722236.42,GBP,2011-08-26
Company_34,Derivatives,SSE,6957775.53,EUR,2023-06-28
Company_87,Options,BSE,9545981.97,INR,2023-09-02
Company_80,Commitments,HKEX,6348494.07,AUD,2013-12-03
Company_56,Commitments,NASDAQ,4492417.66,AUD,2010-01-11
Company_8,Equities,ASX,3810926.79,GBP,2013-09-14
Company_73,Mortgages,LSE,1833186.62,CNY,2019-11-08
Company_64,Futures,LSE,2398665.6,AUD,2017-05-22
Company_2,Commodities,TSX,6808347.77,GBP,2011-08-12
Company_76,Equities,BSE,6934103.77,INR,2023-05-07
Company_50,Commodities,NASDAQ,2448336.45,CAD,2019-05-23
Company_38,Swaps,BSE,2817355.76,USD,2019-12-16
Company_37,Fixed Income,SSE,8039126.38,JPY,2020-04-20
Company_33,Mortgages,NASDAQ,9043696.67,USD,2014-08-02
Company_75,Derivatives,LSE,992320.42,AUD,2015-12-14
Company_23,Fixed Income,LSE,7886476.83,CAD,2018-09-09
Company_22,Equities,NSE,9677102.35,AUD,2021-06-26
Company_15,Commodities,NASDAQ,1493494.45,JPY,2023-11-24
Company_87,Bonds,JPX,3721172.99,CNY,2010-05-18
Company_16,Commodities,ASX,6761000.98,AUD,2019-07-27
Company_82,Derivatives,NASDAQ,6780881.9,INR,2010-10-18
Company_42,Futures,HKEX,6511758.57,INR,2021-05-21
Company_53,Commitments,LSE,548933.43,USD,2014-08-04
Company_13,Fixed Income,JPX,1443074.08,INR,2015-11-24
Company_90,Options,BSE,5914669.42,GBP,2016-11-04
Company_63,Futures,BSE,9396625.35,AUD,2010-12-12
Company_28,Commodities,NSE,9510496.18,CAD,2011-11-12
Company_70,Derivatives,NYSE,4041582.46,JPY,2011-08-03
Company_85,Fixed Income,SSE,9713823.79,USD,2022-06-08
Company_17,Futures,HKEX,779240.51,JPY,2019-04-27
Company_30,Derivatives,LSE,7907573.17,USD,2014-03-05
Company_70,Equities,LSE,1188270.84,USD,2012-01-12
Company_31,Futures,ASX,256232.73,AUD,2010-03-24
Company_54,Options,NASDAQ,7482086.22,INR,2017-06-17
Company_76,Commitments,NSE,5088003.03,USD,2021-11-17
Company_39,Commodities,NYSE,702171.53,INR,2023-07-14
Company_88,Commitments,NSE,7152773.02,INR,2011-02-11
Company_78,Mortgages,NASDAQ,1349296.72,CAD,2016-10-17
Company_38,Commodities,JPX,6093725.24,EUR,2022-12-04
Company_84,Options,HKEX,4357692.42,JPY,2016-06-27
Company_59,Bonds,BSE,7323163.83,CAD,2016-06-22
Company_33,Derivatives,LSE,6899528.25,INR,2011-02-27
Company_11,Commitments,BSE,1055987.88,CAD,2022-03-18
Company_8,Futures,JPX,5660665.48,EUR,2016-06-28
Company_86,Bonds,NYSE,9687146.39,AUD,2015-02-19
Company_65,Fixed Income,LSE,6601689.4,JPY,2023-02-12
Company_72,Derivatives,NASDAQ,7649795.76,JPY,2022-07-28
Company_72,Futures,SSE,6782269.44,USD,2019-11-27
Company_89,Equities,NYSE,1886119.11,AUD,2015-06-01
Company_24,Mortgages,SSE,6607711.88,EUR,2012-12-21
Company_4,Commitments,JPX,2229815.51,CNY,2017-06-06
Company_48,Equities,ASX,7790672.64,EUR,2010-03-06
Company_97,Futures,NYSE,6772290.24,AUD,2017-11-14
Company_63,Futures,NSE,4200419.01,JPY,2022-09-04
Company_45,Bonds,NASDAQ,2904140.05,INR,2018-11-10
Company_6,Fixed Income,BSE,9846012.02,USD,2010-04-10
Company_28,Mortgages,TSX,2965526.6,EUR,2010-08-24
Company_56,Mortgages,LSE,3864053.71,JPY,2018-09-27
Company_86,Derivatives,NASDAQ,4031004.63,USD,2016-01-15
Company_10,Derivatives,SSE,4349914.43,CNY,2021-11-14
Company_38,Commitments,BSE,306479.93,CAD,2012-10-15
Company_89,Derivatives,NASDAQ,4423446.62,EUR,2013-07-19
Company_52,Options,NASDAQ,4018090.3,AUD,2021-06-08
Company_43,Mortgages,NASDAQ,5153784.52,EUR,2018-09-07
Company_100,Derivatives,ASX,7301053.15,GBP,2013-02-05
Company_33,Fixed Income,LSE,6063749.95,EUR,2012-11-16
Company_60,Futures,SSE,4544162.04,CAD,2023-11-11
Company_20,Commodities,NASDAQ,4742318.73,AUD,2022-05-19
Company_8,Derivatives,JPX,834487.5,INR,2017-01-02
Company_48,Equities,NASDAQ,6482198.05,EUR,2019-10-17
Company_50,Commodities,SSE,5587732.08,USD,2017-10-21
Company_25,Derivatives,SSE,4808727.38,GBP,2010-08-04
Company_44,Commitments,JPX,6496658.2,USD,2013-12-15
Company_57,Options,JPX,6137073.52,CAD,2015-05-13
Company_53,Derivatives,SSE,618418.62,CAD,2011-06-04
Company_72,Bonds,TSX,2594758.27,GBP,2015-02-19
Company_85,Mortgages,ASX,3171294.2,CNY,2012-10-23
Company_11,Equities,JPX,3829125.13,CAD,2023-03-22
Company_90,Options,NASDAQ,6495645.73,CNY,2018-06-01
Company_47,Equities,LSE,9516576.2,CAD,2022-08-07
Company_29,Mortgages,LSE,863934.33,EUR,2018-09-27
Company_95,Options,NYSE,6653099.45,GBP,2019-07-05
Company_21,Mortgages,SSE,8109532.82,GBP,2021-08-02
Company_53,Derivatives,HKEX,9698927.17,AUD,2022-12-26
Company_58,Fixed Income,JPX,2467768.12,INR,2023-04-12
Company_87,Futures,NSE,4670631.79,AUD,2022-07-17
Company_68,Bonds,LSE,8187223.27,GBP,2023-05-02
Company_83,Commodities,ASX,5589953.38,EUR,2021-09-28
Company_16,Equities,NASDAQ,7654856.62,AUD,2017-09-05
Company_56,Commitments,HKEX,8185362.23,CAD,2010-07-02
Company_51,Options,ASX,2434202.93,EUR,2015-04-01
Company_41,Commitments,ASX,7934668.31,GBP,2010-05-27
Company_61,Mortgages,NSE,4541154.59,USD,2011-01-09
Company_28,Mortgages,JPX,9408236.9,CNY,2011-05-08
Company_39,Commitments,NYSE,2460551.08,INR,2011-02-27
Company_64,Futures,JPX,262709.99,JPY,2021-03-10
Company_55,Swaps,SSE,3592878.79,CNY,2012-11-22
Company_11,Options,ASX,770025.3,USD,2016-08-02
Company_82,Bonds,ASX,2611137.58,USD,2015-02-12
Company_31,Commitments,SSE,7378351.15,CAD,2012-01-12
Company_70,Derivatives,LSE,8320798.2,INR,2021-08-21
Company_24,Mortgages,NASDAQ,7188846.07,INR,2010-05-07
Company_6,Fixed Income,NYSE,3224398.62,AUD,2018-07-27
Company_70,Commodities,TSX,462545.64,JPY,2014-06-28
Company_100,Swaps,ASX,2804844.4,CAD,2016-07-24
Company_57,Bonds,ASX,9739863.48,INR,2021-08-12
Company_67,Equities,NASDAQ,7298105.11,EUR,2016-10-27
Company_24,Options,TSX,3279993.14,EUR,2015-11-10
Company_40,Commodities,SSE,7204862.82,GBP,2021-08-12
Company_58,Swaps,ASX,6187029.67,CNY,2014-11-26
Company_8,Commitments,BSE,3696780.19,GBP,2010-03-28
Company_78,Commodities,NYSE,1349677.24,JPY,2022-11-12
Company_47,Bonds,SSE,420614.71,GBP,2020-08-12
Company_48,Commodities,NASDAQ,5781825.61,CAD,2016-06-21
Company_36,Fixed Income,NASDAQ,356542.07,GBP,2017-09-13
Company_72,Commitments,TSX,7772148.39,INR,2013-10-10
Company_89,Commodities,HKEX,1314110.48,EUR,2017-03-23
Company_57,Commitments,ASX,6711613.93,EUR,2018-09-10
Company_39,Mortgages,LSE,7957594.2,JPY,2011-04-26
Company_18,Fixed Income,NSE,360211.87,CAD,2017-09-05
Company_79,Commitments,NASDAQ,3161978.1,INR,2018-07-25
Company_53,Futures,NASDAQ,1340735.14,CAD,2020-02-15
Company_60,Options,ASX,1370512.65,GBP,2022-03-14
Company_65,Swaps,NASDAQ,5229211.12,AUD,2012-03-11
Company_91,Fixed Income,ASX,9480083.05,AUD,2023-02-09
Company_26,Options,TSX,1339185.92,AUD,2019-09-03
Company_65,Mortgages,SSE,9421909.18,GBP,2012-11-20
Company_93,Futures,ASX,8441047.04,USD,2023-01-03
Company_6,Futures,TSX,6546186.78,CNY,2019-11-01
Company_64,Options,TSX,6454882.16,AUD,2017-04-26
Company_88,Bonds,TSX,4590086.92,USD,2012-08-14
Company_62,Commodities,HKEX,3467906.43,GBP,2015-12-11
Company_94,Derivatives,BSE,1394584.9,CAD,2018-09-04
Company_41,Fixed Income,NSE,1312966.9,INR,2013-03-04
Company_7,Equities,BSE,8655222.12,CNY,2013-03-27
Company_42,Futures,ASX,1979357.6,GBP,2017-09-15
Company_64,Equities,NSE,329445.35,CNY,2018-08-08
Company_28,Futures,ASX,581715.52,AUD,2017-10-27
Company_84,Commodities,TSX,5413238.42,EUR,2016-03-09
Company_94,Derivatives,BSE,3722779.79,CNY,2010-10-18
Company_25,Derivatives,JPX,2957156.8,CNY,2018-08-25
Company_71,Equities,SSE,6835946.54,EUR,2012-02-13
Company_48,Derivatives,JPX,9395590.81,GBP,2013-10-17
Company_52,Options,NYSE,548503.19,GBP,2021-06-26
Company_61,Options,NSE,1574512.58,GBP,2015-10-11
Company_21,Bonds,SSE,7419261.67,AUD,2019-06-17
Company_66,Options,NSE,7116524.08,AUD,2017-01-12
Company_43,Commitments,BSE,5878651.2,USD,2019-08-09
Company_84,Futures,SSE,2352677.93,USD,2019-08-06
Company_68,Futures,BSE,1562979.51,JPY,2010-10-23
Company_15,Fixed Income,NYSE,4466281.81,CNY,2012-07-23
Company_27,Bonds,JPX,7772225.79,INR,2023-12-24
Company_8,Mortgages,JPX,2152682.88,CAD,2020-08-17
Company_49,Derivatives,LSE,4650668.97,CAD,2018-06-22
Company_99,Equities,SSE,4893383.01,JPY,2014-09-10
Company_29,Equities,TSX,7078519.27,INR,2015-08-12
Company_72,Equities,TSX,1306553.65,CNY,2016-06-25
Company_19,Equities,NYSE,2947540.38,EUR,2015-08-21
Company_33,Commodities,HKEX,2100473.27,AUD,2018-12-09
Company_18,Commitments,SSE,7434820.67,JPY,2013-01-22
Company_68,Fixed Income,HKEX,619661.96,CNY,2015-12-16
Company_13,Mortgages,NYSE,9648735.8,GBP,2016-11-16
Company_62,Fixed Income,TSX,3279560.25,USD,2022-02-21
Company_74,Fixed Income,JPX,7412996.57,USD,2012-07-27
Company_23,Swaps,BSE,7900810.24,GBP,2021-05-02
Company_2,Equities,SSE,6067551.36,CAD,2014-08-21
Company_70,Options,NSE,8903673.64,GBP,2023-09-15
Company_35,Fixed Income,NASDAQ,3373772.56,INR,2020-05-23
Company_24,Swaps,ASX,7928599.88,JPY,2012-10-28
Company_82,Bonds,BSE,5201278.52,EUR,2016-11-04
Company_24,Mortgages,NSE,3303656.53,JPY,2010-05-13
Company_31,Commodities,TSX,9544944.74,AUD,2019-12-19
Company_2,Equities,ASX,6958409.05,USD,2020-02-15
Company_40,Mortgages,BSE,6892128.84,AUD,2021-02-21
Company_38,Derivatives,SSE,2286407.48,GBP,2017-03-15
Company_96,Futures,ASX,4216871.59,INR,2022-09-26
Company_86,Fixed Income,HKEX,6835385.01,EUR,2018-08-17
Company_91,Derivatives,NASDAQ,9180722.6,EUR,2010-09-17
Company_26,Futures,JPX,1583538.58,CAD,2023-09-15
Company_15,Fixed Income,SSE,4939396.87,INR,2022-01-15
Company_17,Options,BSE,4622304.91,USD,2018-08-22
Company_40,Swaps,BSE,2619126.47,USD,2021-04-19
Company_10,Swaps,BSE,3510835.78,EUR,2018-01-03
Company_61,Swaps,TSX,4147782.66,GBP,2022-11-24
Company_83,Bonds,ASX,9929280.33,CNY,2017-07-13
Company_11,Options,LSE,6569987.57,CAD,2011-03-18
Company_51,Options,LSE,7305795.59,JPY,2023-01-25
Company_3,Equities,NSE,6767648.59,CNY,2018-07-27
Company_30,Fixed Income,NSE,3526981.38,AUD,2013-12-25
Company_15,Swaps,BSE,6187739.75,USD,2013-04-03
Company_13,Futures,NYSE,4519766.56,USD,2013-12-02
Company_52,Commodities,HKEX,5443622.11,USD,2012-09-10
Company_30,Futures,ASX,5817000.66,CAD,2013-05-05
Company_85,Options,HKEX,4194246.04,AUD,2010-09-19
Company_95,Mortgages,BSE,5602921.59,USD,2015-11-22
Company_49,Options,ASX,6993453.23,CNY,2012-05-13
Company_24,Options,NSE,2485585.07,JPY,2014-12-05
Company_60,Swaps,JPX,4185507.14,CNY,2018-09-05
Company_50,Fixed Income,TSX,2113033.66,EUR,2017-06-03
Company_69,Fixed Income,NYSE,2757769.72,USD,2023-02-07
Company_98,Futures,JPX,2248463.56,JPY,2023-06-10
Company_2,Fixed Income,HKEX,9624567.81,EUR,2021-08-08
Company_90,Futures,HKEX,4026657.39,JPY,2018-06-25
Company_37,Bonds,NSE,5383136.26,CAD,2014-05-12
Company_66,Commodities,NSE,1076221.49,INR,2022-06-07
Company_48,Derivatives,BSE,552582.94,JPY,2021-03-01
Company_34,Options,SSE,5833514.97,CNY,2014-03-07
Company_43,Fixed Income,BSE,5740916.18,JPY,2017-09-21
Company_88,Derivatives,TSX,7657270.19,INR,2021-11-24
Company_63,Commodities,LSE,7354445.15,CAD,2012-03-24
Company_70,Commodities,LSE,9177303.96,USD,2018-01-27
Company_10,Swaps,NYSE,4182683.0,JPY,2011-12-05
Company_2,Fixed Income,JPX,4614495.62,USD,2019-11-22
Company_79,Commodities,NSE,255744.49,CNY,2010-01-17
Company_93,Equities,JPX,9777045.55,USD,2018-12-22
Company_56,Mortgages,NASDAQ,9188683.56,GBP,2013-04-20
Company_68,Equities,ASX,2746514.89,CNY,2011-06-13
Company_59,Futures,HKEX,9903307.01,JPY,2014-11-27
Company_11,Swaps,NASDAQ,4112255.15,CNY,2018-08-02
Company_82,Swaps,LSE,918592.61,CNY,2020-06-19
Company_13,Options,NYSE,2374688.32,INR,2014-01-03
Company_88,Equities,JPX,5678747.65,USD,2012-06-01
Company_27,Futures,LSE,7547319.25,CNY,2011-05-06
Company_73,Fixed Income,SSE,8363040.54,CNY,2020-09-11
Company_50,Mortgages,NASDAQ,5057849.23,CAD,2010-02-14
Company_30,Commitments,ASX,6091170.56,CNY,2022-06-01
Company_82,Equities,NSE,4956974.22,CAD,2018-07-14
Company_24,Futures,BSE,948371.76,AUD,2022-04-23
Company_10,Commitments,TSX,1626787.54,GBP,2021-07-11
Company_47,Commitments,NASDAQ,151432.7,AUD,2017-06-25
Company_35,Commitments,LSE,964242.6,CNY,2017-09-18
Company_66,Bonds,NASDAQ,359992.85,CAD,2018-02-20
Company_77,Derivatives,BSE,222172.09,CNY,2016-02-24
Company_72,Fixed Income,SSE,5258934.85,CNY,2012-03-09
Company_39,Equities,NSE,1544754.72,GBP,2016-05-14
Company_39,Commodities,NASDAQ,3675136.63,JPY,2021-11-16
Company_77,Futures,HKEX,4632830.17,GBP,2014-01-13
Company_43,Futures,BSE,8060356.97,CAD,2017-06-14
Company_84,Futures,LSE,3074309.32,JPY,2017-06-06
Company_51,Derivatives,TSX,7375256.22,INR,2019-04-11
Company_49,Equities,BSE,3713653.82,JPY,2019-09-06
Company_88,Options,NYSE,9534745.65,INR,2021-04-15
Company_38,Commitments,BSE,6762478.76,GBP,2020-05-08
Company_33,Mortgages,BSE,7911859.96,EUR,2017-10-16
Company_75,Bonds,JPX,5115465.17,CNY,2018-01-26
Company_47,Options,SSE,6417985.63,EUR,2011-04-22
Company_86,Derivatives,LSE,6505298.5,USD,2019-11-22
Company_83,Bonds,ASX,9660596.1,CNY,2011-01-04
Company_34,Fixed Income,JPX,7493844.97,JPY,2017-06-13
Company_60,Futures,JPX,1592374.83,USD,2017-02-10
Company_54,Commitments,NASDAQ,8330045.67,GBP,2015-05-11
Company_59,Fixed Income,JPX,4880967.39,INR,2011-08-24
Company_90,Commodities,ASX,765025.97,USD,2022-12-04
Company_3,Derivatives,NASDAQ,6803679.4,GBP,2021-04-17
Company_23,Options,LSE,3376797.59,CNY,2017-04-26
Company_52,Mortgages,LSE,6440740.88,CNY,2016-01-24
Company_79,Fixed Income,NSE,5962811.27,CNY,2010-12-07
Company_27,Equities,NASDAQ,5815744.26,GBP,2015-06-07
Company_59,Commitments,TSX,6739944.14,INR,2018-11-11
Company_77,Bonds,SSE,3986185.66,EUR,2015-06-28
Company_59,Futures,LSE,8156008.72,AUD,2019-10-03
Company_87,Mortgages,ASX,1266830.36,AUD,2011-03-12
Company_89,Mortgages,JPX,3945786.37,GBP,2019-07-14
Company_24,Commodities,JPX,6964985.97,GBP,2018-03-16
Company_37,Mortgages,LSE,3214342.15,INR,2019-01-28
Company_46,Swaps,NSE,1451693.68,CNY,2018-09-21
Company_64,Bonds,NSE,4214741.31,INR,2017-03-03
Company_73,Swaps,HKEX,2991690.1,AUD,2013-09-10
Company_22,Commodities,SSE,7450930.69,INR,2018-09-04
Company_74,Commitments,TSX,7773618.98,CAD,2018-01-25
Company_93,Commodities,JPX,2263565.16,CNY,2011-12-27
Company_84,Fixed Income,TSX,8760617.48,USD,2017-05-12
Company_12,Commodities,NASDAQ,7778753.33,JPY,2013-12-19
Company_89,Derivatives,SSE,6364429.25,GBP,2019-03-26
Company_27,Fixed Income,NYSE,5743736.01,AUD,2019-09-06
Company_42,Equities,TSX,5770082.24,EUR,2012-07-02
Company_36,Mortgages,LSE,2571804.7,CAD,2023-04-25
Company_87,Bonds,NSE,1507499.17,AUD,2020-07-13
Company_58,Commitments,NASDAQ,4088222.66,AUD,2021-06-15
Company_63,Derivatives,SSE,124483.54,EUR,2021-08-21
Company_86,Derivatives,NASDAQ,7977211.47,CNY,2013-07-27
Company_28,Commodities,TSX,3296364.98,AUD,2015-09-19
Company_17,Futures,NSE,7904206.17,USD,2010-02-21
Company_59,Swaps,NASDAQ,9301385.47,GBP,2017-08-01
Company_55,Fixed Income,LSE,8833262.86,AUD,2012-05-03
Company_84,Derivatives,TSX,915963.25,GBP,2010-07-21
Company_40,Fixed Income,BSE,6589303.76,EUR,2010-04-16
Company_10,Mortgages,SSE,2339289.53,INR,2010-01-23
Company_44,Commitments,BSE,6970906.91,INR,2011-04-13
Company_12,Commitments,NASDAQ,3202179.63,AUD,2012-07-25
Company_97,Mortgages,LSE,777274.91,USD,2019-11-06
Company_57,Derivatives,HKEX,6317992.38,GBP,2016-10-22
Company_57,Fixed Income,NASDAQ,8976270.16,GBP,2022-02-19
Company_94,Bonds,ASX,9636162.23,CAD,2022-03-08
Company_36,Commitments,HKEX,5578626.65,AUD,2022-12-01
Company_85,Equities,HKEX,5225716.37,JPY,2021-07-10
Company_83,Swaps,HKEX,4999388.43,EUR,2013-08-21
Company_77,Commitments,JPX,8898372.83,USD,2015-06-05
Company_50,Futures,BSE,3717583.38,GBP,2022-08-25
Company_10,Swaps,SSE,768572.44,AUD,2013-01-02
Company_51,Options,TSX,6322849.89,CNY,2016-12-13
Company_11,Options,JPX,6198865.85,AUD,2011-05-03
Company_66,Fixed Income,LSE,5410262.71,CNY,2019-11-25
Company_84,Commitments,TSX,7016891.23,JPY,2010-04-03
Company_56,Commitments,NSE,6161738.26,USD,2014-11-24
Company_85,Mortgages,NASDAQ,225383.22,GBP,2021-01-06
Company_64,Derivatives,JPX,5220506.14,AUD,2012-06-05
Company_96,Equities,NASDAQ,7737159.88,USD,2015-07-09
Company_68,Commitments,TSX,7152000.16,EUR,2017-08-17
Company_47,Swaps,NSE,8607661.85,GBP,2015-03-09
